instance_id,error_event,manifest_include,manifest_exclusion_reason,workbook,error_type,error_subtype,cell_type,formula_count,supported_formula_count,parser_coverage,support_stratum,labeled_cell_count,labeled_formula_count,supported_source_formula_count,source_parser_coverage,intervention_scope_fraction,evaluation_ready,evaluation_exclusion_reason
enron_event_24,24,1,,workbooks/converted/20.xlsx,Qualitative,,Formula,586,582,0.9931740614334471,high,1,1,1,1.0,0.17064846416382254,1,
enron_event_25,25,1,,workbooks/converted/21.xlsx,Quantitative,Logical,Formula,345,345,1.0,high,1,1,1,1.0,0.2898550724637681,1,
enron_event_26,26,1,,workbooks/converted/22.xlsx,Qualitative,,Formula,6,4,0.6666666666666666,medium,1,1,1,1.0,1.0,1,
enron_event_27,27,0,annotation_conflict_overview_vs_properties_sheet,workbooks/converted/23.xlsx,Quantitative,Mechanical,Formula,0,0,0.0,not_evaluated,1,0,0,0.0,0.0,0,annotation_conflict_overview_vs_properties_sheet
enron_event_28,28,1,,workbooks/converted/24.xlsx,Quantitative,Omission,Formula,773,772,0.9987063389391979,high,135,135,135,1.0,0.129366106080207,1,
enron_event_29,29,1,,workbooks/converted/25.xlsx,Quantitative,Logical,Formula,209,209,1.0,high,25,25,25,1.0,0.4784688995215311,1,
enron_event_30,30,1,,workbooks/converted/25.xlsx,Qualitative,,Formula,209,209,1.0,high,2,2,2,1.0,0.4784688995215311,1,
enron_event_31,31,0,faulty_version_has_no_formula_at_inserted_cell,,Qualitative,,Formula,0,0,0.0,not_evaluated,0,0,0,0.0,0.0,0,faulty_version_has_no_formula_at_inserted_cell
enron_event_32,32,1,,workbooks/converted/27.xlsx,Qualitative,,Formula,171,171,1.0,high,8,8,8,1.0,0.5847953216374269,1,
enron_event_33,33,1,,workbooks/converted/28.xlsx,Quantitative,Mechanical,Formula,26,26,1.0,high,7,7,7,1.0,1.0,1,
enron_event_34,34,1,,workbooks/converted/28.xlsx,Qualitative,,Formula,26,26,1.0,high,2,2,2,1.0,1.0,1,
enron_event_35,35,1,,workbooks/converted/29.xlsx,Qualitative,,Formula,2,2,1.0,high,1,1,1,1.0,1.0,1,
enron_event_36,36,1,,workbooks/converted/30.xlsx,Quantitative,Mechanical,Formula,114,113,0.9912280701754386,high,2,2,2,1.0,0.8771929824561403,1,
