instance_id,workbook,source_cell,correct_formula,error_type,error_subtype,expected_depth,actual_depth,depth_bin,template_family,source_instance_id,data_role,intended_v4_stratum
v52_red_011,stress_workbooks/ordinary_M2_range_boundary_deep.xlsx,Model!V6,=SUM(A6:A7),M2_range_boundary,ordinary_single_error_control,deep,5,deep,v52_ordinary_control,ordinary_M2_range_boundary_deep,purpose_built_development_redteam,top5
v52_red_012,stress_workbooks/stress_M2_range_boundary_deep.xlsx,Model!V6,=SUM(A6:A7),M2_range_boundary,correct_exception_decoy_stress,deep,5,deep,v52_structural_exception_stress,stress_M2_range_boundary_deep,purpose_built_development_redteam,below5
v52_red_013,stress_workbooks/ordinary_M3_operator_shallow.xlsx,Model!V6,=A6*2,M3_operator,ordinary_single_error_control,shallow,0,shallow,v52_ordinary_control,ordinary_M3_operator_shallow,purpose_built_development_redteam,top5
v52_red_014,stress_workbooks/stress_M3_operator_shallow.xlsx,Model!V6,=A6*2,M3_operator,correct_exception_decoy_stress,shallow,0,shallow,v52_structural_exception_stress,stress_M3_operator_shallow,purpose_built_development_redteam,below5
v52_red_015,stress_workbooks/ordinary_M3_operator_medium.xlsx,Model!V6,=A6*2,M3_operator,ordinary_single_error_control,medium,2,medium,v52_ordinary_control,ordinary_M3_operator_medium,purpose_built_development_redteam,top5
v52_red_016,stress_workbooks/stress_M3_operator_medium.xlsx,Model!V6,=A6*2,M3_operator,correct_exception_decoy_stress,medium,2,medium,v52_structural_exception_stress,stress_M3_operator_medium,purpose_built_development_redteam,below5
v52_red_017,stress_workbooks/ordinary_M3_operator_deep.xlsx,Model!V6,=A6*2,M3_operator,ordinary_single_error_control,deep,5,deep,v52_ordinary_control,ordinary_M3_operator_deep,purpose_built_development_redteam,top5
v52_red_018,stress_workbooks/stress_M3_operator_deep.xlsx,Model!V6,=A6*2,M3_operator,correct_exception_decoy_stress,deep,5,deep,v52_structural_exception_stress,stress_M3_operator_deep,purpose_built_development_redteam,below5
v52_red_019,stress_workbooks/ordinary_M4_function_shallow.xlsx,Model!V6,=SUM(A6:A7),M4_function,ordinary_single_error_control,shallow,0,shallow,v52_ordinary_control,ordinary_M4_function_shallow,purpose_built_development_redteam,top5
v52_red_020,stress_workbooks/stress_M4_function_shallow.xlsx,Model!V6,=SUM(A6:A7),M4_function,correct_exception_decoy_stress,shallow,0,shallow,v52_structural_exception_stress,stress_M4_function_shallow,purpose_built_development_redteam,below5
v52_red_021,stress_workbooks/ordinary_M4_function_medium.xlsx,Model!V6,=SUM(A6:A7),M4_function,ordinary_single_error_control,medium,2,medium,v52_ordinary_control,ordinary_M4_function_medium,purpose_built_development_redteam,top5
v52_red_022,stress_workbooks/stress_M4_function_medium.xlsx,Model!V6,=SUM(A6:A7),M4_function,correct_exception_decoy_stress,medium,2,medium,v52_structural_exception_stress,stress_M4_function_medium,purpose_built_development_redteam,below5
v52_red_023,stress_workbooks/ordinary_M4_function_deep.xlsx,Model!V6,=SUM(A6:A7),M4_function,ordinary_single_error_control,deep,5,deep,v52_ordinary_control,ordinary_M4_function_deep,purpose_built_development_redteam,top5
v52_red_024,stress_workbooks/stress_M4_function_deep.xlsx,Model!V6,=SUM(A6:A7),M4_function,correct_exception_decoy_stress,deep,5,deep,v52_structural_exception_stress,stress_M4_function_deep,purpose_built_development_redteam,below5
v52_red_025,stress_workbooks/ordinary_M5_absolute_reference_shallow.xlsx,Model!V6,=A6*$A$15,M5_absolute_reference,ordinary_single_error_control,shallow,0,shallow,v52_ordinary_control,ordinary_M5_absolute_reference_shallow,purpose_built_development_redteam,top5
v52_red_026,stress_workbooks/stress_M5_absolute_reference_shallow.xlsx,Model!V6,=A6*$A$15,M5_absolute_reference,correct_exception_decoy_stress,shallow,0,shallow,v52_structural_exception_stress,stress_M5_absolute_reference_shallow,purpose_built_development_redteam,below5
v52_red_027,stress_workbooks/ordinary_M5_absolute_reference_medium.xlsx,Model!V6,=A6*$A$15,M5_absolute_reference,ordinary_single_error_control,medium,2,medium,v52_ordinary_control,ordinary_M5_absolute_reference_medium,purpose_built_development_redteam,top5
v52_red_028,stress_workbooks/stress_M5_absolute_reference_medium.xlsx,Model!V6,=A6*$A$15,M5_absolute_reference,correct_exception_decoy_stress,medium,2,medium,v52_structural_exception_stress,stress_M5_absolute_reference_medium,purpose_built_development_redteam,below5
v52_red_029,stress_workbooks/ordinary_M5_absolute_reference_deep.xlsx,Model!V6,=A6*$A$15,M5_absolute_reference,ordinary_single_error_control,deep,5,deep,v52_ordinary_control,ordinary_M5_absolute_reference_deep,purpose_built_development_redteam,top5
v52_red_030,stress_workbooks/stress_M5_absolute_reference_deep.xlsx,Model!V6,=A6*$A$15,M5_absolute_reference,correct_exception_decoy_stress,deep,5,deep,v52_structural_exception_stress,stress_M5_absolute_reference_deep,purpose_built_development_redteam,below5
v52_red_031,stress_workbooks/ordinary_M6_copy_offset_shallow.xlsx,Model!V6,=A6+A7,M6_copy_offset,ordinary_single_error_control,shallow,0,shallow,v52_ordinary_control,ordinary_M6_copy_offset_shallow,purpose_built_development_redteam,top5
v52_red_032,stress_workbooks/stress_M6_copy_offset_shallow.xlsx,Model!V6,=A6+A7,M6_copy_offset,correct_exception_decoy_stress,shallow,0,shallow,v52_structural_exception_stress,stress_M6_copy_offset_shallow,purpose_built_development_redteam,below5
v52_red_033,stress_workbooks/ordinary_M6_copy_offset_medium.xlsx,Model!V6,=A6+A7,M6_copy_offset,ordinary_single_error_control,medium,2,medium,v52_ordinary_control,ordinary_M6_copy_offset_medium,purpose_built_development_redteam,top5
v52_red_034,stress_workbooks/stress_M6_copy_offset_medium.xlsx,Model!V6,=A6+A7,M6_copy_offset,correct_exception_decoy_stress,medium,2,medium,v52_structural_exception_stress,stress_M6_copy_offset_medium,purpose_built_development_redteam,below5
v52_red_035,stress_workbooks/ordinary_M6_copy_offset_deep.xlsx,Model!V6,=A6+A7,M6_copy_offset,ordinary_single_error_control,deep,5,deep,v52_ordinary_control,ordinary_M6_copy_offset_deep,purpose_built_development_redteam,top5
v52_red_036,stress_workbooks/stress_M6_copy_offset_deep.xlsx,Model!V6,=A6+A7,M6_copy_offset,correct_exception_decoy_stress,deep,5,deep,v52_structural_exception_stress,stress_M6_copy_offset_deep,purpose_built_development_redteam,below5
